962	Birds	650	a	2008-01-25 10:22:21	2008-01-25 10:22:21
963	America	650	z	2008-01-25 10:22:44	2008-01-25 10:22:44
963	Birds	650	a	2008-01-25 10:22:44	2008-01-25 10:22:44
964	Butterflies, Fossil	650	a	2008-01-25 10:23:01	2008-01-25 10:23:01
965	Beetles, Fossil	650	a	2008-01-25 10:23:18	2008-01-25 10:23:18
965	Paleontology	650	a	2008-01-25 10:23:18	2008-01-25 10:23:18
965	Tertiary	650	y	2008-01-25 10:23:18	2008-01-25 10:23:18
967	Insects	650	a	2008-01-25 10:23:51	2008-01-25 10:23:51
967	Myriapoda	650	a	2008-01-25 10:23:51	2008-01-25 10:23:51
967	Nomenclature	650	v	2008-01-25 10:23:51	2008-01-25 10:23:51
968	Palms	650	a	2008-01-25 10:24:59	2008-01-25 10:24:59
968	Syagrus	650	a	2008-01-25 10:24:59	2008-01-25 10:24:59
969	Mollusks	650	a	2008-01-25 10:25:15	2008-01-25 10:25:15
969	Shells	650	a	2008-01-25 10:25:15	2008-01-25 10:25:15
972	Epidendrum	650	a	2008-01-25 10:26:09	2008-01-25 10:26:09
974	Lycoperdaceae	650	a	2008-01-25 10:26:44	2008-01-25 10:26:44
976	Salpa	650	a	2008-01-25 10:27:15	2008-01-25 10:27:15
976	Tunicata	650	a	2008-01-25 10:27:15	2008-01-25 10:27:15
977	Canada	650	z	2008-01-25 10:27:33	2008-01-25 10:27:33
977	Natural history	650	a	2008-01-25 10:27:33	2008-01-25 10:27:33
977	Periodicals	650	v	2008-01-25 10:27:33	2008-01-25 10:27:33
978	Biology	650	a	2008-01-25 10:27:51	2008-01-25 10:27:51
978	Periodicals	650	v	2008-01-25 10:27:51	2008-01-25 10:27:51
983	Arachnida, Fossil	650	a	2008-01-25 10:34:44	2008-01-25 10:34:44
983	Spiders, Fossil	650	a	2008-01-25 10:34:44	2008-01-25 10:34:44
984	Gazelle (Ship)	610	a	2008-01-25 10:54:10	2009-01-04 00:17:00
984	Scientific expeditions	650	a	2008-01-25 10:54:10	2009-01-04 00:17:00
985	Antarctica	650	z	2008-01-25 10:54:11	2008-01-25 10:54:11
985	Oceanography	650	a	2008-01-25 10:54:11	2008-01-25 10:54:11
985	Research	650	x	2008-01-25 10:54:11	2008-01-25 10:54:11
985	Scotia (Ship)	610	a	2008-01-25 10:54:11	2008-01-25 10:54:11
986	Antarctica	650	z	2008-01-25 10:54:12	2008-01-25 10:54:12
986	Natural history	650	a	2008-01-25 10:54:12	2008-01-25 10:54:12
986	Scientific expeditions	650	a	2008-01-25 10:54:12	2008-01-25 10:54:12
987	Embryology	650	a	2008-01-25 10:54:13	2008-01-25 10:54:13
988	Anatomy	650	x	2008-01-25 10:54:14	2008-01-25 10:54:14
988	Dissection	650	a	2008-01-25 10:54:14	2008-01-25 10:54:14
988	Dogs	650	a	2008-01-25 10:54:14	2008-01-25 10:54:14
988	Mammals	650	a	2008-01-25 10:54:14	2008-01-25 10:54:14
989	Fisheries	650	a	2008-01-25 10:54:15	2008-09-28 00:37:24
989	United States	650	z	2008-01-25 10:54:15	2008-09-28 00:37:24
990	Anatomy, Comparative	650	a	2008-01-25 10:54:20	2008-10-12 00:40:19
991	Pineal gland	650	a	2008-01-25 10:54:22	2008-01-25 10:54:22
